Site Name,Full Address,Preschool Spaces,Infant/Toddler Spaces,School Age Spaces,All Available Spaces,Facility Code,Town Code,Address,Town,ZIP Code,Latitude,Longitude,Town from Census,lat,lon,person_id,senator_district,senator_full_name,senator_first_name,senator_last_name,senator_party,representative_district,representative_full_name,representative_first_name,representative_last_name,representative_party
Edith B. Jackson Child Care Program,405 Canner Street #1 New Haven CT 06511,1.0,0.0,,1.0,FC0000930541,93.0,405 Canner Street #1,New Haven,06511,41.32549,-72.921776,NEW HAVEN,41.32549,-72.921776,ocd-person/c78a6285-02a8-4b73-bac9-9f5807c2aacf,11,Martin M. Looney,Martin,Looney,Democratic,94,Robyn A. Porter,Robyn,Porter,Democratic
Elizabeth Celotto Child Care Center,181 Mitchell Drive New Haven CT 06511,0.0,32.0,0.0,32.0,FC0000933541,93.0,181 Mitchell Drive,New Haven,06511,41.324455,-72.90951,NEW HAVEN,41.324455,-72.90951,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
Farnam Nursery School,162 Fillmore Street New Haven CT 06513,44.0,0.0,,44.0,FC0000930641,93.0,162 Fillmore Street,New Haven,06513,41.31339,-72.899284,NEW HAVEN,41.313390000000005,-72.899284,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
Friends Center for Children ( East Grand Ave),227 East Grand Avenue New Haven CT 06513,42.0,20.0,0.0,62.0,FC0000933641,93.0,227 East Grand Avenue,New Haven,06513,41.305523,-72.87951,NEW HAVEN,41.305523,-72.87951,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,97,Alphonse Paolillo Jr.,Alphonse,Paolillo,Democratic
Friends Center for Children (Blake Street),nan nan CT ,17.0,0.0,,17.0,FC0000000nan,93.0,,,,,,,,,,,,,,,,,,,
Gateway Community College Early Learning Center,20 Church Street New Haven CT 06510,40.0,0.0,,40.0,FC0000930441,93.0,20 Church Street,New Haven,06510,41.304924,-72.92659,NEW HAVEN,41.304924,-72.92659,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
Leila Day Nurseries,100 Cold Spring Road New Haven CT 06511,18.0,0.0,,18.0,FC0000930741,93.0,100 Cold Spring Road,New Haven,06511,41.32521,-72.912224,NEW HAVEN,41.32521,-72.912224,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
LULAC Head Start (Faye Miller Child & Family Development Center),250 Cedar Street New Haven CT 06519,0.0,28.0,0.0,28.0,FC0000930841,93.0,250 Cedar Street,New Haven,06519,41.299423,-72.93221,NEW HAVEN,41.299423,-72.93221,ocd-person/59460c80-5324-423f-a06c-158d69a30b02,10,Gary A. Winfield,Gary,Winfield,Democratic,93,Toni E. Walker,Toni,Walker,Democratic
LULAC Head Start or LULAC,nan New Haven CT ,108.0,0.0,,108.0,FC0000938011,93.0,,New Haven,,41.344864,-72.98986,NEW HAVEN,41.344864,-72.98986,ocd-person/53fa49be-9042-4e23-a1ff-a85f98a3d9f7,17,Jorge Cabrera,,,Democratic,114,Mary Welander,,,Democratic
LULAC Head Start-Mill River Center,375 James Street New Haven CT 06511,28.0,47.0,,75.0,FC0000932841,93.0,375 James Street,New Haven,06511,41.313023,-72.90384,NEW HAVEN,41.313023,-72.90384,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
Montessori School on Edgewood,230 Edgewood Avenue New Haven CT 06511,31.0,20.0,,51.0,FC0000930941,93.0,230 Edgewood Avenue,New Haven,06511,41.31263,-72.941605,NEW HAVEN,41.31263,-72.94160500000001,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
Morning Glory Early Learning Center,1859 Chapel Street New Haven CT 06515,16.0,0.0,,16.0,FC0000931041,93.0,1859 Chapel Street,New Haven,06515,41.31498,-72.960785,NEW HAVEN,41.31498,-72.960785,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
Morning Glory Infant-Toddler Center,49 Parmelee Avenue New Haven CT 06511,12.0,16.0,,28.0,FC0000933941,93.0,49 Parmelee Avenue,New Haven,06511,41.30707,-72.94952,NEW HAVEN,41.30707,-72.94951999999999,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
New Haven BOE at Augusta Lewis Troup School,259 Edgewood Avenue New Haven CT 06511,20.0,0.0,,20.0,FC0000931511,93.0,259 Edgewood Avenue,New Haven,06511,41.312717,-72.94184,NEW HAVEN,41.312717,-72.94184,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
New Haven BOE at Columbus Family Academy,255 Blatchley Avenue New Haven CT 06513,39.0,0.0,,39.0,FC0000934111,93.0,255 Blatchley Avenue,New Haven,06513,41.30829,-72.899254,NEW HAVEN,41.30829,-72.899254,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
New Haven BOE at East Rock School,133 Nash Street New Haven CT 06511,58.0,0.0,,58.0,FC0000934611,93.0,133 Nash Street,New Haven,06511,41.319176,-72.90817,NEW HAVEN,41.319176,-72.90817,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
New Haven BOE at Fair Haven Sde,164 Grand Avenue New Haven CT 06513,,0.0,,0.0,FC0000930011,93.0,164 Grand Avenue,New Haven,06513,41.309147,-72.89354,NEW HAVEN,41.309146999999996,-72.89354,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
New Haven BOE at Hill Central School,140 Dewitt Street New Haven CT 06519,40.0,0.0,,40.0,FC0000930711,93.0,140 Dewitt Street,New Haven,06519,41.296715,-72.93556,NEW HAVEN,41.296715,-72.93556,ocd-person/6af561a7-e6d7-4a29-8f65-9a22a5734639,10,Gary A. Winfield,Gary,Winfield,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
New Haven BOE at Lincoln Bassett School (Head Start Center),130 Bassett Street New Haven CT 06511,,0.0,,0.0,FC0000932011,93.0,130 Bassett Street,New Haven,06511,41.331497,-72.93044,NEW HAVEN,41.331497,-72.93044,ocd-person/c78a6285-02a8-4b73-bac9-9f5807c2aacf,10,Gary A. Winfield,Gary,Winfield,Democratic,94,Robyn A. Porter,Robyn,Porter,Democratic
New Haven BOE at Nathan Hale School,480 Townsend Avenue New Haven CT 06512,51.0,0.0,,51.0,FC0000931411,93.0,480 Townsend Avenue,New Haven,06512,41.26989,-72.8969,NEW HAVEN,41.269890000000004,-72.8969,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,97,Alphonse Paolillo Jr.,Alphonse,Paolillo,Democratic
New Haven BOE at Truman Head Start,114 Truman Street New Haven CT 06519,29.0,0.0,,29.0,FC0000932911,93.0,114 Truman Street,New Haven,06519,41.293137,-72.94121,NEW HAVEN,41.293137,-72.94121,ocd-person/6af561a7-e6d7-4a29-8f65-9a22a5734639,10,Gary A. Winfield,Gary,Winfield,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
New Haven BOE at Wexler Grant School,55 Foote Street New Haven CT 06511,,0.0,,0.0,FC0000933211,93.0,55 Foote Street,New Haven,06511,41.31856,-72.92921,NEW HAVEN,,,,,,,,,,,,,
New Haven YMCA Youth Center,52 Howe Street New Haven CT 06511,45.0,0.0,,45.0,FC0000932241,93.0,52 Howe Street,New Haven,06511,41.30878,-72.93588,NEW HAVEN,41.30878,-72.93588000000001,ocd-person/59460c80-5324-423f-a06c-158d69a30b02,10,Gary A. Winfield,Gary,Winfield,Democratic,93,Toni E. Walker,Toni,Walker,Democratic
Phyllis Bodel Childcare Ctr at Yale Sch Med,367 Cedar Street New Haven CT 06510,5.0,0.0,,5.0,FC0000931241,93.0,367 Cedar Street,New Haven,06510,41.302467,-72.93384,NEW HAVEN,41.302467,-72.93384,ocd-person/59460c80-5324-423f-a06c-158d69a30b02,10,Gary A. Winfield,Gary,Winfield,Democratic,93,Toni E. Walker,Toni,Walker,Democratic
Phyllis Bodel Childcare Ctr at Yale Sch of Medicine South,100 Church Street S New Haven CT 06519,2.0,0.0,,2.0,FC0000934141,93.0,100 Church Street S,New Haven,06519,41.353992,-72.93404,NEW HAVEN,41.353992,-72.93404,ocd-person/62869ad5-5744-4a50-95f5-56ecf5549e31,17,Jorge Cabrera,,,Democratic,91,Michael D'Agostino,Michael,D'Agostino,Democratic
Saint Francis and Saint Rose of Lima Child Development Center - Catholic Charities Child Development Center , 423 Ferry Street (or 790 Grand Avenue) New Haven CT 06513,84.0,0.0,,84.0,FC0000930721,93.0, 423 Ferry Street (or 790 Grand Avenue),New Haven,06513,41.31144,-72.89606,NEW HAVEN,,,,,,,,,,,,,
St Andrew's Child Care Center,1230 Townsend Avenue New Haven CT 06513,51.0,16.0,0.0,67.0,FC0000931741,93.0,1230 Townsend Avenue,New Haven,06513,41.29053,-72.89219,NEW HAVEN,41.29053,-72.89219,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,97,Alphonse Paolillo Jr.,Alphonse,Paolillo,Democratic
The Little Schoolhouse,1440 Whalley Avenue New Haven CT 06515,18.0,0.0,,18.0,FC0000933041,93.0,1440 Whalley Avenue,New Haven,06515,41.33398,-72.976234,NEW HAVEN,41.33398,-72.97623399999999,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
United Community Nursery School,323 Temple Street New Haven CT 06511,23.0,0.0,,23.0,FC0000931841,93.0,323 Temple Street,New Haven,06511,41.30951,-72.92481,NEW HAVEN,41.309509999999996,-72.92481,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
Westville Community Nursery School,3 Tour Avenue New Haven CT 06515,12.0,0.0,,12.0,FC0000931941,93.0,3 Tour Avenue,New Haven,06515,41.326385,-72.9592,NEW HAVEN,41.326384999999995,-72.9592,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
Yale NH Hosp St Raphael Campus CCC,"121 Sherman Ave., Bldg Xavier New Haven CT 06511",7.0,0.0,,7.0,FC0000933341,93.0,"121 Sherman Ave., Bldg Xavier",New Haven,06511,41.309864,-72.94517,NEW HAVEN,41.309864000000005,-72.94516999999999,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
Yale-New Haven Hospital Day Care Center,110 Davenport Avenue New Haven CT 06511,23.0,0.0,,23.0,FC0000932041,93.0,110 Davenport Avenue,New Haven,06511,41.302914,-72.93719,NEW HAVEN,41.302914,-72.93719,ocd-person/59460c80-5324-423f-a06c-158d69a30b02,10,Gary A. Winfield,Gary,Winfield,Democratic,93,Toni E. Walker,Toni,Walker,Democratic
Southfield Children's Center,84 Faith Road Newington CT 06111,30.0,16.0,0.0,46.0,FC0000940141,94.0,84 Faith Road,Newington,06111,41.66378,-72.72928,NEWINGTON,41.663779999999996,-72.72928,ocd-person/f55ef0f9-f0ed-48ba-80b9-23ac643626cc,9,Matthew L. Lesser,Matthew,Lesser,Democratic,24,Emmanuel Sanchez,,,Democratic
Child Works Pre-School,3 Garvin Street New London CT 06320,16.0,0.0,,16.0,FC0000950341,95.0,3 Garvin Street,New London,06320,41.354122,-72.1034,NEW LONDON,41.354122,-72.1034,ocd-person/bdea553b-35fa-4076-88e8-fd995d2d7631,20,Paul M. Formica,Paul,Formica,Republican,39,Anthony L. Nolan,Anthony,Nolan,Democratic
Children's Learning Center at Mitchell College,701 Montauk Avenue New London CT 06320,7.0,0.0,,7.0,FC0000950621,95.0,701 Montauk Avenue,New London,06320,,,,,,,,,,,,,,,,
Connecticut College Children's Program,75 Nameaug Avenue New London CT 06320,16.0,0.0,,16.0,FC0000950161,95.0,75 Nameaug Avenue,New London,06320,41.376865,-72.101494,NEW LONDON,41.376865,-72.10149399999999,ocd-person/bdea553b-35fa-4076-88e8-fd995d2d7631,20,Paul M. Formica,Paul,Formica,Republican,39,Anthony L. Nolan,Anthony,Nolan,Democratic
New London BOE at Harbor Elementary School,432 Montauk Avenue New London CT 6320,15.0,0.0,,15.0,FC0000950611,95.0,432 Montauk Avenue,New London,6320,41.334915,-72.101715,NEW LONDON,41.334915,-72.101715,ocd-person/bdea553b-35fa-4076-88e8-fd995d2d7631,20,Paul M. Formica,Paul,Formica,Republican,39,Anthony L. Nolan,Anthony,Nolan,Democratic
New London Day Nursery (Child & Family Agency of SECT),7 Vauxhall Street New London CT 06320,39.0,10.0,,49.0,FC0000950541,95.0,7 Vauxhall Street,New London,06320,41.36089,-72.10403,NEW LONDON,41.360890000000005,-72.10403000000001,ocd-person/bdea553b-35fa-4076-88e8-fd995d2d7631,20,Paul M. Formica,Paul,Formica,Republican,39,Anthony L. Nolan,Anthony,Nolan,Democratic
TVCCA Little Learners Head Start,387 Bayonet Street New London CT 06320,35.0,0.0,,35.0,FC0000950841,95.0,387 Bayonet Street,New London,06320,41.371082,-72.11392,NEW LONDON,,,,,,,,,,,,,
TVCCA Little Learners/Head Start-New London,387 Bayonet Street New London CT 06320,105.0,24.0,0.0,129.0,FC0000950641,95.0,387 Bayonet Street,New London,06320,41.371082,-72.11392,NEW LONDON,41.371082,-72.11392,ocd-person/bdea553b-35fa-4076-88e8-fd995d2d7631,20,Paul M. Formica,Paul,Formica,Republican,39,Anthony L. Nolan,Anthony,Nolan,Democratic
Children's Center of New Milford,11A Aspetuck Avenue New Milford CT 06776,26.0,5.0,32.0,63.0,FC0000960341,96.0,11A Aspetuck Avenue,New Milford,06776,41.580997,-73.41244,NEW MILFORD,41.580996999999996,-73.41244,ocd-person/9b22e360-54e1-4e6a-a733-d2c0a7e94d5a,30,Craig Miner,Craig,Miner,Republican,67,Bill Buckbee,Bill,Buckbee,Republican
EdAdvance at Northville Elementary School,22 Hipp Road New Milford CT 06776,,0.0,,0.0,FC0000960811,96.0,22 Hipp Road,New Milford,06776,41.57695,-73.41078,NEW MILFORD,41.57695,-73.41078,ocd-person/9b22e360-54e1-4e6a-a733-d2c0a7e94d5a,30,Craig Miner,Craig,Miner,Republican,67,Bill Buckbee,Bill,Buckbee,Republican
Education Connection Hill and Plain Head Start,60 Old Town Park Road New Milford CT 06776,,0.0,,0.0,FC0000960141,96.0,60 Old Town Park Road,New Milford,06776,41.534412,-73.42965,NEW MILFORD,41.534411999999996,-73.42965,ocd-person/9b22e360-54e1-4e6a-a733-d2c0a7e94d5a,30,Craig Miner,Craig,Miner,Republican,67,Bill Buckbee,Bill,Buckbee,Republican
Children's Adventure Center,14 Riverside Road Sandy Hook CT 06482,30.0,0.0,0.0,30.0,FC0000970141,97.0,14 Riverside Road,Sandy Hook,06482,41.422153,-73.279434,SANDY HOOK,41.422153,-73.279434,ocd-person/b1ab473b-e7ff-4c53-96af-ee796c89f4dd,28,Tony Hwang,Tony,Hwang,Republican,106,Mitch Bolinsky,Mitch,Bolinsky,Republican
North Branford BOE at Jerome Harrison Elementary School,335 Foxon Road North Branford CT 06471,15.0,0.0,,15.0,FC0000990411,99.0,335 Foxon Road,North Branford,06471,,,,,,,,,,,,,,,,
Canaan Child Care Center,20 Whiting Drive North Canaan CT 06018,15.0,0.0,,15.0,FC0001000141,100.0,20 Whiting Drive,North Canaan,06018,,,,,,,,,,,,,,,,
Community Services Day Care Center,7 Linsley Street North Haven CT 06473,15.0,0.0,30.0,45.0,FC0001010141,101.0,7 Linsley Street,North Haven,06473,41.387215,-72.86273,NORTH HAVEN,41.387215000000005,-72.86273,ocd-person/ca523a61-6db3-47c6-bf1f-8fd7638e999f,34,Paul Cicarella,,,Republican,87,Dave W. Yaccarino,Dave,Yaccarino,Republican
Carousel Preschool,23 France Street Norwalk CT 06851,40.0,0.0,,40.0,FC0001030541,103.0,23 France Street,Norwalk,06851,41.124214,-73.40994,NORWALK,41.124214,-73.40994,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
CIFC/Greater Norwalk Head Start - Ely,11 Ingalls Avenue Norwalk CT 06854,43.0,0.0,0.0,43.0,FC0001030241,103.0,11 Ingalls Avenue,Norwalk,06854,41.08066,-73.426796,NORWALK,,,,,,,,,,,,,
"Growing Seeds Child Development Center - Trinity CDC, Inc.",2 Trinity Place Norwalk CT 06854,30.0,8.0,,38.0,FC0001031241,103.0,2 Trinity Place,Norwalk,06854,41.10042,-73.42262,NORWALK,41.10042,-73.42262,ocd-person/9e9d6f02-ee29-4ff3-a6fe-1b8a0cec0612,25,Bob Duff,Bob,Duff,Democratic,140,Travis Simms,Travis,Simms,Democratic
Growing Seeds Child Development Center Ben Franklin,165 Flax Hill Road Norwalk CT 06854,43.0,23.0,0.0,66.0,FC0001031541,103.0,165 Flax Hill Road,Norwalk,06854,41.097885,-73.42466,NORWALK,41.097885,-73.42466,ocd-person/9e9d6f02-ee29-4ff3-a6fe-1b8a0cec0612,25,Bob Duff,Bob,Duff,Democratic,140,Travis Simms,Travis,Simms,Democratic
Lil Critters Preschool,10 Lewis Street Norwalk CT 06851,42.0,0.0,,42.0,FC0001031141,103.0,10 Lewis Street,Norwalk,06851,41.11922,-73.40984,NORWALK,41.11922,-73.40984,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
Marvin Children's Center,60 Gregory Boulevard Norwalk CT 06855,40.0,0.0,,40.0,FC0001030841,103.0,60 Gregory Boulevard,Norwalk,06855,41.097202,-73.39989,NORWALK,41.097202,-73.39989,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
Norwalk BOE at Fox Run School-Elli Model Pre-K,228 Fillow Street Norwalk CT 06850,20.0,0.0,,20.0,FC0001032011,103.0,228 Fillow Street,Norwalk,06850,41.114788,-73.45549,NORWALK,41.114788,-73.45549,ocd-person/2ed1f7b0-a1e3-4754-93a5-46b5a3fb9836,25,Bob Duff,Bob,Duff,Democratic,142,Lucy Dathan,Lucy,Dathan,Democratic
Norwalk BOE at Jefferson Magnet School,75 Van Buren Avenue Norwalk CT 06850,20.0,0.0,,20.0,FC0001030711,103.0,75 Van Buren Avenue,Norwalk,06850,41.11525,-73.41995,NORWALK,41.11525,-73.41995,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
Norwalk BOE at Kendall Elementary School,57 Fillow Street Norwalk CT 06850,18.0,0.0,,18.0,FC0001030811,103.0,57 Fillow Street,Norwalk,06850,41.11872,-73.43509,NORWALK,,,,,,,,,,,,,
Norwalk BOE at Naramake,16 King Street Norwalk CT 06851,18.0,0.0,,18.0,FC0001032111,103.0,16 King Street,Norwalk,06851,41.119812,-73.388855,NORWALK,41.119811999999996,-73.388855,ocd-person/ea5497d0-5a3b-4dcc-9d13-5d50a586cf2b,25,Bob Duff,Bob,Duff,Democratic,143,Stephanie Thomas,,,Democratic
Norwalk BOE at Norwalk Early Childhood Center,11 Allen Road Norwalk CT 06851,20.0,0.0,,20.0,FC0001030111,103.0,11 Allen Road,Norwalk,06851,41.136364,-73.40165,NORWALK,41.136364,-73.40165,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
Norwalk BOE at Tracey School,20 Camp Street Norwalk CT 06851,,0.0,,0.0,FC0001031411,103.0,20 Camp Street,Norwalk,06851,41.122723,-73.413185,NORWALK,41.122723,-73.413185,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
Norwalk Comm Child Development Laboratory School,188 Richards Avenue Norwalk CT 06854,20.0,0.0,,20.0,FC0001031041,103.0,188 Richards Avenue,Norwalk,06854,41.103127,-73.45177,NORWALK,41.103127,-73.45177,ocd-person/2ed1f7b0-a1e3-4754-93a5-46b5a3fb9836,25,Bob Duff,Bob,Duff,Democratic,142,Lucy Dathan,Lucy,Dathan,Democratic
Odyssey Learning Inc.,11 Ingalls Avenue Norwalk CT 06854,170.0,52.0,,222.0,FC0001031441,103.0,11 Ingalls Avenue,Norwalk,06854,41.08066,-73.426796,NORWALK,41.080659999999995,-73.426796,ocd-person/9e9d6f02-ee29-4ff3-a6fe-1b8a0cec0612,25,Bob Duff,Bob,Duff,Democratic,140,Travis Simms,Travis,Simms,Democratic
Room to Grow-Norwalk (Catholic Charities),208 East Avenue Norwalk CT 06855,132.0,0.0,,132.0,FC0001030641,103.0,208 East Avenue,Norwalk,06855,41.106174,-73.40518,NORWALK,41.106173999999996,-73.40518,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
Stepping Stones Early Learning Lab School,303 West Avenue Norwalk CT 06850,15.0,3.0,,18.0,FC0001031741,103.0,303 West Avenue,Norwalk,06850,41.109787,-73.41811,NORWALK,41.109787,-73.41811,ocd-person/15f3df31-84bc-4ae6-b399-c9b9c58ecec6,25,Bob Duff,Bob,Duff,Democratic,137,Chris Perone,Chris,Perone,Democratic
The Children's Playhouse,112 Bouton Street Norwalk CT 06854,35.0,0.0,,35.0,FC0001030741,103.0,112 Bouton Street,Norwalk,06854,41.086716,-73.42967,NORWALK,41.086715999999996,-73.42967,ocd-person/fd57836a-b0bd-4ff9-8490-5ba5903d52a5,25,Bob Duff,Bob,Duff,Democratic,141,Terrie E. Wood,Terrie,Wood,Republican
The Children's Playhouse Too,31 West Avenue Norwalk CT 06854,31.0,0.0,,31.0,FC0001030941,103.0,31 West Avenue,Norwalk,06854,41.10305,-73.41986,NORWALK,41.10305,-73.41986,ocd-person/9e9d6f02-ee29-4ff3-a6fe-1b8a0cec0612,25,Bob Duff,Bob,Duff,Democratic,140,Travis Simms,Travis,Simms,Democratic
Mayflower Montessori School,1 Thames River Place Norwich CT 06360,16.0,0.0,,16.0,FC0001041141,104.0,1 Thames River Place,Norwich,06360,41.505657,-72.08952,NORWICH,41.505657,-72.08952,ocd-person/81708fd7-b28e-4c83-b972-80e77a91da3c,19,Catherine A. Osten,Catherine,Osten,Democratic,46,Emmett D. Riley,Emmett,Riley,Democratic
Norwich Family Resource Cntr Norwich Public School (Bishop ELC),526 East Main St. Norwich CT 06360,170.0,0.0,,170.0,FC0001040111,104.0,526 East Main St.,Norwich,06360,41.522686,-72.062996,NORWICH,41.522686,-72.062996,ocd-person/81708fd7-b28e-4c83-b972-80e77a91da3c,19,Catherine A. Osten,Catherine,Osten,Democratic,46,Emmett D. Riley,Emmett,Riley,Democratic
Norwich Family Resource Cntr Norwich Public School (Case ELC),30 Case Street Norwich CT 06360,62.0,0.0,,62.0,FC0001040211,104.0,30 Case Street,Norwich,06360,41.55472,-72.10193,NORWICH,41.55472,-72.10193000000001,ocd-person/2342cde8-078f-4dd8-8879-f9fdaa036a94,19,Catherine A. Osten,Catherine,Osten,Democratic,47,Doug Dubitsky,Doug,Dubitsky,Republican
The Global Child,55 Otrobando Avenue Norwich CT 06360,31.0,0.0,,31.0,FC0001040941,104.0,55 Otrobando Avenue,Norwich,06360,41.54602,-72.10008,NORWICH,41.54602,-72.10008,ocd-person/2d99a0ff-740d-4c97-8d0c-524842f99f73,19,Catherine A. Osten,Catherine,Osten,Democratic,139,Kevin Ryan,Kevin,Ryan,Democratic
TVCCA Little Learners/Head Start-Taftville,380 Taftville/Occum Road Taftville CT 06380,125.0,32.0,0.0,157.0,FC0001040341,104.0,380 Taftville/Occum Road,Taftville,06380,,,,,,,,,,,,,,,,
Plainfield BOE at Plainfield Readiness & Plainfield Head Start @ Plainfield ECC (The),651 Norwich Road Plainfield CT 06374,18.0,0.0,,18.0,FC0001098011,109.0,651 Norwich Road,Plainfield,06374,41.675545,-71.915474,PLAINFIELD,41.675545,-71.915474,ocd-person/a648c360-3b9e-408d-ba2a-c171edada365,18,Heather S. Somers,Heather,Somers,Republican,45,Brian Lanoue,Brian,Lanoue,Republican
Plainfield BOE at Shepard Hill Elementary School,234 Shepard Hill Road Plainfield CT 06374,10.0,0.0,,10.0,FC0001090411,109.0,234 Shepard Hill Road,Plainfield,06374,41.73658,-71.90711,PLAINFIELD,41.73658,-71.90711,ocd-person/a648c360-3b9e-408d-ba2a-c171edada365,18,Heather S. Somers,Heather,Somers,Republican,44,Anne Dauphinais,Anne,Dauphinais,Republican
Plainville BOE at Linden Street School - Plainville Community Preschool,69 Linden Street Plainville CT 06062,18.0,0.0,,18.0,FC0001100211,110.0,69 Linden Street,Plainville,06062,41.668297,-72.85747,PLAINVILLE,41.668296999999995,-72.85746999999999,ocd-person/3ee72607-8d51-4752-af90-dd669611187b,31,Henri Martin,Henri,Martin,Republican,22,"William A. Petit Jr., M.D.",William,Petit,Republican
Plainville Early Learning Center - West Main Street,130 West Main Street Plainville CT 06062,38.0,11.0,0.0,49.0,FC0001100141,110.0,130 West Main Street,Plainville,06062,41.67006,-72.87395,PLAINVILLE,41.67006,-72.87395,ocd-person/3ee72607-8d51-4752-af90-dd669611187b,31,Henri Martin,Henri,Martin,Republican,22,"William A. Petit Jr., M.D.",William,Petit,Republican
Plainville Early Learning Center-South Canal,19 South Canal Street Plainville CT 06062,0.0,0.0,18.0,18.0,FC0001100441,110.0,19 South Canal Street,Plainville,06062,41.665916,-72.871025,PLAINVILLE,41.665915999999996,-72.871025,ocd-person/3ee72607-8d51-4752-af90-dd669611187b,31,Henri Martin,Henri,Martin,Republican,22,"William A. Petit Jr., M.D.",William,Petit,Republican
Education Connection Harry S. Fisher Head Start,79 North Main Street Terryville CT 06786,,0.0,,0.0,FC0001110411,111.0,79 North Main Street,Terryville,06786,41.68311,-73.00554,TERRYVILLE,41.68311,-73.00554,ocd-person/ed8c3238-f1f8-451c-8906-8feca116a025,31,Henri Martin,Henri,Martin,Republican,78,Whit Betts,Whit,Betts,Republican
